matchNameDuplicate;team;position;accurateFwdZonePass;accurateLongBalls;accuratePass;aerialLost;aerialWon;attOpenplay;attemptsConcededIbox;attemptsConcededObox;attemptsIbox;attemptsObox;backwardPass;ballRecovery;bigChanceCreated;bigChanceMissed;bigChanceScored;blockedCross;blockedPass;diveSave;divingSave;duelLost;duelWon;effectiveBlockedCross;effectiveClearance;effectiveHeadClearance;finalThirdEntries;fouledFinalThird;fouls;fwdPass;goalKicks;goals;goalsConceded;goalsConcededIbox;goalsConcededObox;goalsOpenplay;headClearance;headPass;interception;interceptionWon;interceptionsInBox;minsPlayed;offtargetAttAssist;ontargetAttAssist;ontargetScoringAtt;openPlayPass;passesLeft;passesRight;penAreaEntries;possLostAll;possLostCtrl;possWonAtt3rd;possWonDef3rd;possWonMid3rd;putThrough;rightsidePass;savedIbox;savedObox;saves;shotOffTarget;successfulFinalThirdPasses;successfulOpenPlayPass;successfulPutThrough;timesTackled;totalAttAssist;totalBackZonePass;totalClearance;totalContest;totalCornersIntobox;totalCrossNocorner;totalFinalThirdPasses;totalFwdZonePass;totalHighClaim;totalLaunches;totalLayoffs;totalLongBalls;totalOffside;totalPass;totalScoringAtt;totalSubOff;totalSubOn;totalTackle;touches;touchesInOppBox;unsuccessfulTouch;wasFouled;winningGoal;wonContest;wonCorners;wonTackle;yellowCard
Y. M'Vila;OSFP;Midfield;39;3;66;0;0;0;2;6;0;0;3;3;0;0;0;0;0;0;0;2;3;0;0;0;9;0;0;19;0;0;2;1;1;0;0;1;1;1;0;90;0;1;0;73;13;7;1;10;10;0;0;3;1;18;0;0;0;0;10;65;0;0;1;29;0;0;0;1;14;46;0;0;0;4;0;74;0;0;0;3;83;1;1;0;0;0;0;0;0
S. Papastathopoulos;OSFP;Defender;16;1;53;2;2;0;2;6;1;0;3;7;0;0;0;0;0;0;0;2;3;0;1;0;5;0;0;24;0;0;2;1;1;0;0;9;1;1;0;90;0;0;0;56;1;4;0;6;6;0;6;1;0;13;0;0;0;0;4;51;0;0;0;39;1;0;0;0;5;19;0;1;0;3;0;58;1;0;0;1;64;1;1;0;0;0;0;1;0
K. Fortounis;OSFP;Forward Midfield;38;8;45;0;0;4;2;6;0;6;6;4;1;0;0;0;0;0;0;4;6;0;0;0;13;1;0;19;0;0;2;1;1;0;0;2;0;0;0;90;1;4;0;53;13;7;11;24;24;1;1;2;2;21;0;0;0;2;22;44;0;4;5;10;0;7;4;5;28;53;0;0;0;9;0;54;6;0;0;0;84;3;4;2;0;4;2;0;0
Rafael Camacho;ARIS;Forward Midfield;3;0;3;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;5;2;0;1;9;9;0;0;0;0;2;0;0;0;0;1;3;0;2;0;0;0;1;0;0;3;6;0;0;0;1;0;6;0;0;1;0;12;0;4;0;0;0;0;0;0
M. Peersman;ARIS;Defender;5;1;38;1;0;0;7;11;1;0;3;4;0;0;0;0;0;0;0;1;1;0;1;1;2;0;0;22;0;0;1;1;0;0;1;4;1;1;0;90;0;0;0;49;4;0;1;12;12;0;4;0;1;12;0;0;0;0;0;38;0;0;0;40;1;0;0;0;2;10;0;1;0;6;0;50;1;0;0;1;56;1;0;0;0;0;0;1;1
O. Ba;OSFP;Defender;13;2;49;0;0;0;2;6;0;0;5;7;0;0;0;0;0;0;0;5;1;0;1;0;0;0;5;20;0;0;2;1;1;0;0;4;1;1;0;90;0;0;0;53;11;1;0;8;8;0;6;1;0;17;0;0;0;0;0;47;0;0;0;37;1;0;0;0;1;18;0;2;0;5;0;55;0;0;0;1;60;0;2;0;0;0;0;1;0
Fabiano;ARIS;Defender;12;2;41;0;2;0;7;11;0;0;4;4;0;0;0;0;0;0;0;0;2;0;8;5;3;0;0;18;0;0;1;1;0;0;5;2;3;3;1;90;0;0;0;45;0;6;1;5;5;0;3;1;0;11;0;0;0;0;1;41;0;0;0;30;8;0;0;0;3;15;0;1;0;4;0;45;0;0;0;0;57;0;0;0;0;0;0;0;0
O. Reabciuk;OSFP;Defender;20;1;38;0;1;0;2;6;0;0;11;3;0;0;0;0;0;0;0;3;3;0;0;0;8;0;2;16;0;0;2;1;1;0;0;2;2;2;0;86;1;0;0;44;18;0;4;12;12;0;2;1;1;17;0;0;0;0;8;38;0;1;1;21;0;1;0;4;11;27;0;1;0;3;0;44;0;1;0;0;59;1;1;1;0;1;0;0;1
T. Androutsos;OSFP;Defender;11;4;36;0;0;1;2;6;1;0;8;8;0;0;0;1;0;0;0;2;5;1;0;0;3;0;0;7;0;0;2;1;1;0;0;1;1;1;0;90;0;1;0;44;1;8;7;19;19;1;4;3;2;1;0;0;0;1;5;36;0;2;1;27;0;2;0;8;9;25;0;1;0;5;0;44;1;0;0;2;68;3;0;3;0;0;0;2;1
V. Darida;ARIS;Forward Midfield;12;3;31;0;0;1;7;11;0;1;9;5;0;0;0;0;0;0;0;1;3;0;1;0;6;0;0;13;0;0;1;1;0;0;0;1;0;0;0;90;0;0;0;40;3;7;0;11;11;0;4;1;0;7;0;0;0;1;5;30;0;1;0;22;1;0;0;0;10;19;0;0;0;5;0;41;1;0;0;2;48;1;0;1;0;0;0;1;0
P. Kasami;OSFP;Midfield;22;4;45;0;0;2;1;5;0;2;9;3;0;0;0;0;0;0;0;2;2;0;0;0;5;0;2;8;0;0;1;0;1;0;0;0;2;2;0;59;0;0;1;48;7;4;2;7;7;0;1;2;0;13;0;0;0;0;5;45;0;0;0;23;0;1;0;1;8;26;0;0;0;6;0;48;2;1;0;1;59;1;2;0;0;1;3;1;0
B. Mazikou;ARIS;Defender;10;0;29;0;0;0;7;11;0;0;9;2;0;0;0;0;1;0;0;2;1;0;0;0;5;0;2;14;0;0;1;1;0;0;0;0;1;1;0;90;0;0;0;35;13;0;1;12;12;0;0;2;2;13;0;0;0;0;4;29;1;1;0;21;0;1;0;0;7;15;0;0;0;2;0;36;0;0;0;0;52;0;2;1;0;0;0;0;0
M. Garcia;ARIS;Forward Midfield;18;1;30;0;0;2;5;8;0;2;9;4;0;0;0;0;0;0;0;2;5;0;0;0;2;0;0;5;0;0;1;1;0;0;0;3;1;1;0;76;0;0;1;30;7;3;2;3;3;1;2;1;1;5;0;0;0;1;7;29;0;0;0;13;0;2;0;1;7;19;0;0;0;1;0;31;2;1;0;2;42;0;1;1;0;2;1;2;0
B. Dabo;ARIS;Midfield;11;1;27;0;0;1;5;9;1;0;6;3;0;0;1;0;0;0;0;1;5;0;0;0;5;0;0;5;0;1;1;1;0;1;0;0;0;0;0;89;0;1;1;28;4;1;0;4;4;0;2;1;0;10;0;0;0;0;7;25;0;0;1;17;0;1;0;0;7;13;0;0;0;1;0;30;1;1;0;0;38;1;1;4;1;1;0;0;1
Hwang In-Beom;OSFP;Midfield;12;2;23;0;0;1;1;1;0;2;2;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;6;0;0;1;1;0;0;0;1;0;0;0;31;0;0;0;24;4;2;1;1;1;0;1;0;0;8;0;0;0;1;6;23;0;0;0;11;0;0;0;0;7;13;0;0;0;2;0;24;2;0;1;0;26;0;0;0;0;0;0;0;0
S. M'Bakata;ARIS;Defender;15;3;28;0;0;0;7;11;0;0;7;3;0;0;0;2;1;0;0;0;3;2;0;0;5;0;0;7;0;0;1;1;0;0;0;0;5;5;0;90;0;0;0;32;2;14;1;11;11;0;1;2;1;5;0;0;0;0;5;27;1;0;0;16;0;0;0;2;6;19;0;1;0;4;0;33;0;0;0;2;51;1;2;1;0;0;1;1;0
C. Doukoure;ARIS;Forward Midfield;2;1;20;0;0;0;7;11;0;0;7;1;0;0;0;0;0;0;0;6;1;0;2;1;0;0;3;4;0;0;1;1;0;0;1;2;1;1;0;90;0;0;0;21;2;0;0;2;2;0;1;0;0;4;0;0;0;0;0;19;0;0;0;19;2;0;0;0;0;3;0;0;0;1;1;22;0;0;0;1;29;0;0;0;0;0;0;1;1
L. Palma;ARIS;Forward;10;1;19;0;0;1;4;5;0;2;8;2;0;0;0;1;1;0;0;4;2;1;2;1;0;0;1;5;0;1;0;0;0;0;1;1;0;0;0;58;1;0;1;19;1;5;3;9;9;0;2;0;1;9;0;0;0;0;4;18;1;3;1;11;2;2;1;1;6;13;0;1;0;2;0;22;2;1;0;2;39;2;0;0;0;0;0;1;0
M. Valbuena;OSFP;Forward Midfield;17;0;18;1;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;1;0;0;0;0;6;0;0;8;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;18;7;5;0;0;0;2;0;2;0;3;0;0;0;0;11;18;0;0;0;2;0;0;1;0;11;17;0;0;0;0;0;18;0;0;1;0;19;0;0;0;0;0;0;0;0
G. Masouras;OSFP;Forward Midfield;10;0;11;0;0;2;1;5;2;0;4;1;0;1;0;0;0;0;0;3;1;0;0;0;1;0;1;4;0;0;1;0;1;0;0;0;1;1;0;59;0;0;1;17;3;0;2;8;8;0;0;1;1;8;0;0;0;1;1;11;0;1;0;1;0;2;0;1;6;17;0;0;0;0;1;17;2;1;0;0;23;4;0;0;0;1;1;0;1
